"ProductCode","Name","TamilName","Category","Mrp","SellingPrice","PurchasePrice","Barcode","TaxSlabName","IsWeighable","HasExpiry","Uom"
"BA-10057","MD TREYA 10","மங்கள்தீப் 10","","10.00","9.00","7.48","11403","GST 0%","FALSE","TRUE","Pcs"
"BA-10058","ENGAGE M4","ENGAGE M4","","200.00","185.00","132.74","11404","GST 0%","FALSE","TRUE","Pcs"
"BA-10058","ENGAGE M4","ENGAGE M4","","210.00","197.00","146.00","109930","GST 0%","FALSE","TRUE","Pcs"
"BA-10059","ENGAGE M3","","","200.00","185.00","132.74","11405","GST 0%","FALSE","TRUE","Pcs"
"BA-1006","LOREAL B1 RS.590/-","ரு.590/- லோரியல் B1","","590.00","548.00","0.00","2060","GST 18%","FALSE","TRUE","Pcs"
"BA-10060","engage on sp","ENGAGE ON","","120.00","110.00","95.00","11406","GST 0%","FALSE","TRUE","Pcs"
"BA-10061","black salt 100","BLACK SALT 100","","16.00","14.00","7.00","11407","GST 0%","FALSE","TRUE","Pcs"
"BA-10062","HAIR MAATTI 60","HAIR MAATTI 60","","75.00","60.00","34.00","11408","GST 0%","FALSE","TRUE","Pcs"
"BA-10063","BURGA PIN 30","BURGA PIN 30","","40.00","25.00","12.00","11409","GST 0%","FALSE","TRUE","Pcs"
"BA-10064","HAIR MAATTI 50","HAIR MAATTI 50","","75.00","50.00","27.00","11410","GST 0%","FALSE","TRUE","Pcs"
"BA-10065","HAND CHAIN 170","HAND CHAIN 170","","250.00","170.00","85.00","11411","GST 0%","FALSE","TRUE","Pcs"
"BA-10066","KAVO CLIP 20","KAVO CLIP 20","","30.00","20.00","7.00","11412","GST 0%","FALSE","TRUE","Pcs"
"BA-10067","CARROM COIN ZOOM","CARROM COIN","","70.00","55.00","30.00","11413","GST 0%","FALSE","TRUE","Pcs"
"BA-10068","CARROM COIN RAJA","CARROM COIN","","80.00","60.00","35.00","11414","GST 0%","FALSE","TRUE","Pcs"
"BA-10069","BAT REEBOK","BAT REEBOK","","350.00","245.00","150.00","11415","GST 0%","FALSE","TRUE","Pcs"
"BA-1007","VIM LIQUID 40","40/-விம் லிக்விட்","","40.00","38.00","36.36","2061","GST 0%","FALSE","TRUE","Pcs"
"BA-10070","BAT BIG","BAT BIG","","550.00","360.00","245.00","11416","GST 0%","FALSE","TRUE","Pcs"
"BA-10071","gift papper","கிப்ட் பேப்பர்","","10.00","10.00","0.60","11417","GST 0%","FALSE","TRUE","Pcs"
"BA-10072","Z ICON 100","Z ICON 100","","125.00","118.00","81.25","11420","GST 0%","FALSE","TRUE","Pcs"
"BA-10073","Z ICON 50","Z ICON 50","","65.00","62.00","48.75","11421","GST 0%","FALSE","TRUE","Pcs"
"BA-10074","VEGA TRIMMER VHTH-14","VEGA TRIMMER","","999.00","780.00","599.40","11422","GST 0%","FALSE","TRUE","Pcs"
"BA-10075","VEGA PUMICE STONE","VEGA PUMICE STONE","","60.00","40.00","25.00","11423","GST 0%","FALSE","TRUE","Pcs"
"BA-10076","VEGA STONE","VEGA STONE","","90.00","85.00","67.50","11424","GST 0%","FALSE","TRUE","Pcs"
"BA-10077","VEGA STONE 49","VEGA STONE","","49.00","45.00","36.75","11425","GST 0%","FALSE","TRUE","Pcs"
"BA-10078","SOORIAN SOODAM 20G","சூரியன் சூடம் 20கி","","36.00","33.00","20.40","11426","GST 0%","FALSE","TRUE","Pcs"
"BA-10079","papper strEW","PAPPER STREW","","60.00","35.00","28.00","11427","GST 0%","FALSE","TRUE","Pcs"
"BA-1008","LOREAL AB 425 RS.590/-","ரு.590/- லோரியல் AB 425","","590.00","548.00","0.00","2062","GST 18%","FALSE","TRUE","Pcs"
"BA-10080","BALOON PUMP","BALOON PUMP","","100.00","55.00","35.00","11428","GST 0%","FALSE","TRUE","Pcs"
"BA-10081","NAWAB RICE 1K","நவாப் அரிசி 1கி","","80.00","70.00","65.50","11429","GST 0%","FALSE","TRUE","Pcs"
"BA-10082","PERRYS COOKY","பேரிஸ் பிஸ்கட்","","70.00","67.00","48.00","11431","GST 0%","FALSE","TRUE","Pcs"
"BA-10082","PERRYS COOKY","பேரிஸ் பிஸ்கட்","","80.00","77.00","67.00","128810","GST 0%","FALSE","TRUE","Pcs"
"BA-10082","PERRYS COOKY","பேரிஸ் பிஸ்கட்","","90.00","85.00","75.00","129303","GST 0%","FALSE","TRUE","Pcs"
"BA-10083","perrys sugar BISCUITS","பேரிஸ் பிஸ்கட்","","100.00","95.00","83.00","11432","GST 0%","FALSE","TRUE","Pcs"
"BA-10084","INDULEKHA 120","INDULEKHA 120ML","","432.00","370.00","327.89","11433","GST 0%","FALSE","TRUE","Pcs"
"BA-10085","PONDS WB 149","PONDS WB 149","","149.00","144.00","122.92","11434","GST 0%","FALSE","TRUE","Pcs"
"BA-10086","SUNSILK SOFT","சன்சில்க் Y","","58.00","57.00","51.10","110664","GST 0%","FALSE","TRUE","Pcs"
